기간	컬럼1	컬럼2	출생	출생	출생	사망	사망	사망
기간	컬럼1	컬럼2	계	남자	여자	계	남자	여자
2008	동작구	상도4동	285	156	129	101	52	49
2008	동작구	사당1동	266	143	123	97	40	57
2008	동작구	사당3동	276	143	133	95	48	47
2008	동작구	사당4동	157	81	76	53	33	20
2008	동작구	사당5동	212	114	98	44	26	18
2008	동작구	대방동	355	190	165	144	82	62
2008	동작구	신대방1동	254	138	116	95	60	35
2008	동작구	신대방2동	190	117	73	72	35	37
2008	동작구	흑석동	260	140	120	143	77	66
2008	동작구	노량진1동	343	178	165	137	81	56
2008	동작구	사당2동	373	196	177	110	60	50
2008	동작구	미상	18	11	7	1	-	1
2008	관악구	소계	5,306	2,737	2,569	1,916	1,076	840
2008	관악구	보라매동	289	143	146	121	63	58
2008	관악구	청림동	283	149	134	59	36	23
2008	관악구	행운동	303	155	148	105	63	42
2008	관악구	낙성대동	176	91	85	53	28	25
2008	관악구	중앙동	124	58	66	54	32	22
2008	관악구	인헌동	327	172	155	94	51	43
2008	관악구	남현동	187	92	95	63	34	29
2008	관악구	서원동	313	170	143	101	57	44
2008	관악구	신원동	187	94	93	80	45	35
2008	관악구	서림동	185	106	79	58	37	21
2008	관악구	신사동	223	109	114	78	38	40
2008	관악구	신림동	227	124	103	82	51	31
2008	관악구	난향동	272	149	123	58	24	34
2008	관악구	조원동	149	78	71	60	36	24
2008	관악구	대학동	128	71	57	60	32	28
2008	관악구	은천동	483	250	233	147	86	61
2008	관악구	성현동	394	196	198	137	81	56
2008	관악구	청룡동	263	134	129	119	65	54
2008	관악구	난곡동	245	125	120	133	74	59
2008	관악구	삼성동	233	117	116	126	71	55
2008	관악구	미성동	287	144	143	128	72	56
2008	관악구	미상	28	10	18	-	-	-
2008	서초구	소계	3,846	1,949	1,897	1,139	581	558
2008	서초구	서초1동	324	169	155	71	36	35
2008	서초구	서초2동	244	121	123	47	16	31
2008	서초구	서초3동	254	120	134	91	47	44
2008	서초구	서초4동	174	93	81	60	24	36
2008	서초구	잠원동	391	197	194	84	48	36
2008	서초구	반포본동	112	60	52	46	20	26
2008	서초구	반포1동	138	66	72	44	19	25
2008	서초구	반포2동	96	47	49	32	13	19
2008	서초구	반포3동	196	99	97	54	29	25
2008	서초구	반포4동	168	93	75	52	27	25
2008	서초구	방배본동	251	130	121	78	47	31
2008	서초구	방배1동	146	63	83	63	39	24
2008	서초구	방배2동	274	143	131	91	46	45
2008	서초구	방배3동	196	109	87	72	36	36
2008	서초구	방배4동	215	105	110	63	36	27
2008	서초구	양재1동	330	172	158	102	54	48
2008	서초구	양재2동	262	124	138	51	19	32
2008	서초구	내곡동	60	28	32	38	25	13
2008	서초구	미상	15	10	5	-	-	-
2008	강남구	소계	4,586	2,356	2,230	1,626	827	799
2008	강남구	신사동	153	73	80	49	27	22
2008	강남구	논현1동	211	110	101	73	41	32
2008	강남구	논현2동	210	97	113	70	39	31
2008	강남구	압구정1동	144	67	77	81	43	38
2008	강남구	압구정2동	113	60	53	33	15	18
2008	강남구	청담1동	129	61	68	67	36	31
2008	강남구	청담2동	128	70	58	27	9	18
2008	강남구	삼성1동	130	62	68	38	16	22
2008	강남구	삼성2동	249	109	140	51	23	28
2008	강남구	대치1동	99	52	47	64	29	35
2008	강남구	대치2동	72	38	34	61	31	30
2008	강남구	대치3동	86	47	39	40	24	16
2008	강남구	대치4동	143	74	69	44	20	24
2008	강남구	역삼1동	361	181	180	110	47	63
2008	강남구	역삼2동	391	216	175	81	42	39
2008	강남구	도곡1동	213	106	107	69	35	34
2008	강남구	도곡2동	281	149	132	78	45	33
2008	강남구	개포1동	145	80	65	74	32	42
2008	강남구	개포2동	147	79	68	64	31	33
2008	강남구	개포3동	246	130	116	30	13	17
2008	강남구	개포4동	185	92	93	54	20	34
2008	강남구	일원본동	202	115	87	59	35	24
2008	강남구	일원1동	158	84	74	101	55	46
2008	강남구	일원2동	159	78	81	68	41	27
2008	강남구	수서동	181	98	83	114	61	53
2008	강남구	세곡동	28	15	13	26	17	9
2008	강남구	미상	22	13	9	-	-	-
2008	송파구	소계	5,995	3,107	2,888	1,954	1,037	917
2008	송파구	풍납1동	210	109	101	80	49	31
2008	송파구	풍납2동	301	153	148	72	37	35
2008	송파구	거여1동	141	80	61	71	31	40
2008	송파구	거여2동	369	189	180	119	63	56
2008	송파구	마천1동	183	96	87	102	57	45
2008	송파구	마천2동	199	89	110	92	49	43
2008	송파구	방이1동	129	58	71	74	36	38
2008	송파구	방이2동	264	137	127	65	27	38
2008	송파구	오륜동	53	27	26	37	21	16
2008	송파구	오금동	310	166	144	122	72	50
2008	송파구	송파1동	334	172	162	89	53	36
2008	송파구	송파2동	129	64	65	63	32	31
2008	송파구	석촌동	424	224	200	107	59	48
2008	송파구	삼전동	448	225	223	90	46	44
2008	송파구	가락본동	282	138	144	88	59	29
2008	송파구	가락1동	196	111	85	47	26	21
2008	송파구	가락2동	253	128	125	86	38	48
2008	송파구	문정1동	219	114	105	76	36	40
2008	송파구	문정2동	67	29	38	59	28	31
2008	송파구	장지동	314	164	150	91	44	47
2008	송파구	잠실본동	303	161	142	99	59	40
2008	송파구	잠실4동	184	96	88	47	25	22
2008	송파구	잠실6동	113	56	57	44	22	22
2008	송파구	잠실7동	75	37	38	30	14	16
2008	송파구	잠실2동	79	48	31	17	12	5
2008	송파구	잠실3동	392	221	171	87	42	45
2008	송파구	미상	24	15	9	-	-	-
2008	강동구	소계	4,019	2,124	1,895	1,549	859	690
2008	강동구	강일동	4	4	-	5	4	1
2008	강동구	상일동	197	106	91	103	58	45
2008	강동구	명일1동	237	119	118	92	51	41
2008	강동구	명일2동	59	29	30	48	18	30
2008	강동구	고덕1동	200	102	98	76	40	36
2008	강동구	고덕2동	162	81	81	64	29	35
2008	강동구	암사2동	204	105	99	52	22	30
2008	강동구	암사3동	82	41	41	33	17	16
2008	강동구	천호1동	302	174	128	122	75	47
2008	강동구	천호3동	264	151	113	116	70	46
2008	강동구	성내1동	255	130	125	65	39	26
2008	강동구	성내2동	281	146	135	109	63	46
2008	강동구	성내3동	251	134	117	61	35	26
2008	강동구	둔촌1동	99	54	45	37	19	18
2008	강동구	둔촌2동	181	106	75	80	46	34
2008	강동구	암사1동	361	185	176	154	87	67
2008	강동구	천호2동	343	173	170	136	76	60
2008	강동구	길동	520	276	244	196	110	86
2008	강동구	미상	17	8	9	-	-	-
