기간	자치구	행정동	합계	남자	여자
2016	영등포구	양평1동	38.6	38.4	38.8
2016	영등포구	양평2동	37.4	37.4	37.4
2016	영등포구	신길1동	44.2	42.7	45.8
2016	영등포구	신길3동	44.8	43.7	45.9
2016	영등포구	신길4동	46.8	45.7	48
2016	영등포구	신길5동	46.5	45.5	47.6
2016	영등포구	신길6동	43	42	44.2
2016	영등포구	신길7동	39.1	38.3	39.9
2016	영등포구	대림1동	46.2	44.8	47.5
2016	영등포구	대림2동	47.3	46.1	48.4
2016	영등포구	대림3동	44	42.9	45.2
2016	영등포구	영등포본동	43.7	43.1	44.4
2016	영등포구	영등포동	41	43.1	38.2
2016	영등포구	도림동	42.7	42	43.5
2016	영등포구	문래동	39.1	39.2	39.1
2016	동작구	소계	40.4	39.4	41.4
2016	동작구	노량진2동	45.8	43.6	47.7
2016	동작구	상도1동	37.6	36.6	38.5
2016	동작구	상도2동	39.5	39	40.1
2016	동작구	상도3동	40.9	39.7	42.3
2016	동작구	상도4동	41	39.5	42.8
2016	동작구	사당1동	39	38.5	39.4
2016	동작구	사당3동	41.7	41.1	42.5
2016	동작구	사당4동	41	39.7	42.5
2016	동작구	사당5동	40	39.1	41.1
2016	동작구	대방동	39.8	39	40.5
2016	동작구	신대방1동	42.1	41.7	42.4
2016	동작구	신대방2동	39.3	38.9	39.6
2016	동작구	흑석동	40.6	39.5	41.9
2016	동작구	노량진1동	41	39.2	43.1
2016	동작구	사당2동	41.7	40.5	43
2016	관악구	소계	39.3	38.5	40.3
2016	관악구	보라매동	40.6	39.4	42.1
2016	관악구	청림동	40.3	39.5	41.2
2016	관악구	행운동	36.9	36.7	37.1
2016	관악구	낙성대동	33.7	33.7	33.7
2016	관악구	중앙동	38.4	38.2	38.6
2016	관악구	인헌동	37.7	36.9	38.6
2016	관악구	남현동	37.2	37	37.5
2016	관악구	서원동	37.5	36.3	39.1
2016	관악구	신원동	40.7	39	42.8
2016	관악구	서림동	36.8	35.7	38.7
2016	관악구	신사동	40.8	39.6	42.1
2016	관악구	신림동	33.2	33.8	32.4
2016	관악구	난향동	41.8	41.3	42.5
2016	관악구	조원동	40.9	40.6	41.3
2016	관악구	대학동	36	35.7	36.4
2016	관악구	은천동	40.5	39.8	41.4
2016	관악구	성현동	42.1	41	43.1
2016	관악구	청룡동	36.4	36.6	36.2
2016	관악구	난곡동	43.9	42.3	45.6
2016	관악구	삼성동	46.6	44.9	48.4
2016	관악구	미성동	42.4	41.3	43.8
2016	서초구	소계	39.8	39.4	40.2
2016	서초구	서초1동	39.2	38.8	39.6
2016	서초구	서초2동	38.8	38.6	39.1
2016	서초구	서초3동	41	40	41.9
2016	서초구	서초4동	40.2	40.2	40.3
2016	서초구	잠원동	39.6	39.1	40
2016	서초구	반포본동	42.4	42.6	42.2
2016	서초구	반포1동	38	38.4	37.7
2016	서초구	반포2동	40	39.9	40.1
2016	서초구	반포3동	40.1	39.6	40.5
2016	서초구	반포4동	39.7	39.1	40.1
2016	서초구	방배본동	41	41	41
2016	서초구	방배1동	39.7	39.2	40.2
2016	서초구	방배2동	41.8	40.6	42.9
2016	서초구	방배3동	42.5	41.1	43.7
2016	서초구	방배4동	39.7	40.1	39.4
2016	서초구	양재1동	38.7	38.2	39.2
2016	서초구	양재2동	38.7	38.2	39.2
2016	서초구	내곡동	39.1	38.7	39.6
2016	강남구	소계	39.6	39	40.2
2016	강남구	신사동	40.6	40.4	40.8
2016	강남구	논현1동	37.5	37.8	37.2
2016	강남구	논현2동	38.8	39	38.6
2016	강남구	삼성1동	40.6	38.7	42.3
2016	강남구	삼성2동	38.3	37.9	38.6
2016	강남구	대치1동	40.3	38.4	40.9
2016	강남구	대치4동	38.2	37.6	38.7
2016	강남구	역삼1동	36.5	37.1	35.8
2016	강남구	역삼2동	38.2	38.4	38.1
2016	강남구	도곡1동	39.3	39.6	39
2016	강남구	도곡2동	40.6	41.5	39.9
2016	강남구	개포1동	44.4	41.9	46
2016	강남구	개포4동	40.2	39.2	41.1
2016	강남구	일원본동	39.8	37.5	41.1
2016	강남구	일원1동	42.9	40.5	45.5
2016	강남구	일원2동	41.6	38.9	44.4
2016	강남구	수서동	48.1	42.8	52.2
2016	강남구	세곡동	38.2	37.8	38.5
2016	강남구	압구정동	41.5	41.3	41.7
2016	강남구	청담동	40	39.4	40.5
2016	강남구	대치2동	41.6	39.1	43.1
2016	강남구	개포2동	41.8	40.4	43
2016	송파구	소계	40	39.4	40.5
2016	송파구	풍납1동	44.4	42.9	45.7
2016	송파구	풍납2동	39.4	39.4	39.3
2016	송파구	거여1동	42.5	41.7	43.2
2016	송파구	거여2동	43.7	42.6	44.9
2016	송파구	마천1동	44.4	43.7	45
2016	송파구	마천2동	45.2	43.8	46.5
2016	송파구	방이1동	40.4	39.5	41.1
2016	송파구	방이2동	39.2	38.4	40
2016	송파구	오륜동	41.4	40.6	41.9
2016	송파구	오금동	41.8	40.4	43.1
2016	송파구	송파1동	38.4	38.2	38.5
2016	송파구	송파2동	40.4	39.5	41.2
2016	송파구	석촌동	39	38.6	39.5
2016	송파구	삼전동	38.3	37.7	38.9
2016	송파구	가락본동	40.4	39.6	41.1
2016	송파구	가락1동	43.6	41.1	45.5
2016	송파구	가락2동	39.4	38.6	40
2016	송파구	문정1동	40.2	39.2	41.2
2016	송파구	문정2동	38.1	38	38.3
2016	송파구	장지동	39.6	38.5	40.7
2016	송파구	위례동	37.2	37.4	37.1
2016	송파구	잠실본동	38.7	38.3	39.1
2016	송파구	잠실4동	38.5	38.1	38.9
2016	송파구	잠실6동	40.9	40.1	41.5
2016	송파구	잠실7동	43.8	44.5	43.3
2016	송파구	잠실2동	38.3	38.5	38.1
2016	송파구	잠실3동	40.2	40	40.4
2016	강동구	소계	41.5	40.5	42.6
2016	강동구	강일동	39.3	38.8	39.8
2016	강동구	상일동	44.2	42.7	45.4
2016	강동구	명일1동	41.3	40	42.4
2016	강동구	명일2동	41.9	40.2	43
2016	강동구	고덕1동	39.7	38.4	41
2016	강동구	고덕2동	47.3	46.1	48.8
2016	강동구	암사2동	39.5	39.2	39.8
2016	강동구	암사3동	39.8	39.7	39.9
2016	강동구	천호1동	43.4	42.2	44.7
2016	강동구	천호3동	43.8	42.9	44.8
2016	강동구	성내1동	39.7	39	40.4
2016	강동구	성내2동	42.6	41.7	43.7
2016	강동구	성내3동	40.7	39.1	42.5
2016	강동구	둔촌1동	42.6	38	45.7
2016	강동구	둔촌2동	40.8	39.5	42.2
2016	강동구	암사1동	41.8	40.6	43.1
2016	강동구	천호2동	43.6	42.8	44.4
2016	강동구	길동	41	39.9	42.1
