기간	자치구	동	시설합계	노인복지관	노인복지관	경로당	노인교실
기간	자치구	동	시설합계	시설수	종사자수	경로당	노인교실
2012	송파구	방이2동	2	-	-	2	-
2012	송파구	오륜동	3	-	-	3	-
2012	송파구	오금동	14	-	-	13	1
2012	송파구	송파1동	4	-	-	3	1
2012	송파구	송파2동	7	-	-	6	1
2012	송파구	석촌동	3	-	-	3	-
2012	송파구	삼전동	4	1	23	2	1
2012	송파구	가락본동	9	-	-	9	-
2012	송파구	가락1동	4	-	-	4	-
2012	송파구	가락2동	10	-	-	10	-
2012	송파구	문정1동	7	-	-	6	1
2012	송파구	문정2동	4	-	-	3	1
2012	송파구	장지동	17	-	-	17	-
2012	송파구	잠실본동	6	-	-	5	1
2012	송파구	잠실4동	8	-	-	6	2
2012	송파구	잠실6동	3	-	-	3	-
2012	송파구	잠실7동	2	-	-	2	-
2012	송파구	잠실2동	2	-	-	2	-
2012	송파구	잠실3동	3	-	-	3	-
2012	강동구	소계	140	2	46	123	15
2012	강동구	강일동	12	-	-	12	-
2012	강동구	상일동	8	-	-	8	-
2012	강동구	명일1동	7	-	-	6	1
2012	강동구	명일2동	8	1	25	6	1
2012	강동구	고덕1동	7	1	21	5	1
2012	강동구	고덕2동	3	-	-	3	-
2012	강동구	암사2동	11	-	-	10	1
2012	강동구	암사3동	4	-	-	4	-
2012	강동구	천호1동	7	-	-	7	-
2012	강동구	천호3동	5	-	-	5	-
2012	강동구	성내1동	9	-	-	6	3
2012	강동구	성내2동	11	-	-	9	2
2012	강동구	성내3동	4	-	-	4	-
2012	강동구	둔촌1동	8	-	-	6	2
2012	강동구	둔촌2동	5	-	-	4	1
2012	강동구	암사1동	3	-	-	3	-
2012	강동구	천호2동	13	-	-	13	-
2012	강동구	길동	15	-	-	12	3
