기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	시설	인원
2016	마포구	소계	4,882	18	7,717	4,009	5,702	728	1,452	145	224	18	339
2016	마포구	용강동	156	-	231	130	182	23	46	3	3	-	-
2016	마포구	대흥동	223	-	281	185	214	33	53	5	14	-	-
2016	마포구	염리동	237	-	316	178	227	52	79	7	10	-	-
2016	마포구	신수동	173	-	253	129	165	39	79	5	9	-	-
2016	마포구	서교동	200	-	279	160	207	33	63	7	9	-	-
2016	마포구	합정동	249	-	362	209	286	33	68	7	8	-	-
2016	마포구	망원1동	397	-	598	323	472	58	108	16	18	-	-
2016	마포구	망원2동	242	-	383	205	316	30	58	7	9	-	-
2016	마포구	연남동	171	-	210	145	175	19	27	7	8	-	-
2016	마포구	성산1동	274	-	430	228	339	42	86	4	5	-	-
2016	마포구	성산2동	904	-	1,590	745	1,208	143	355	16	27	-	-
2016	마포구	상암동	320	-	588	251	435	53	127	16	26	-	-
2016	마포구	도화동	286	-	387	250	320	30	60	6	7	-	-
2016	마포구	서강동	165	-	215	146	179	13	22	6	14	-	-
2016	마포구	공덕동	549	-	783	452	614	77	133	20	36	-	-
2016	마포구	아현동	336	-	472	273	363	50	88	13	21	-	-
2016	마포구	기타	-	18	339	-	-	-	-	-	-	18	339
2016	양천구	소계	6,885	31	10,660	5,996	8,588	683	1,429	206	289	31	354
2016	양천구	목1동	126	-	180	116	161	9	16	1	3	-	-
2016	양천구	목2동	339	-	523	297	439	35	72	7	12	-	-
2016	양천구	목3동	425	-	646	381	553	36	81	8	12	-	-
2016	양천구	목4동	336	-	500	302	438	20	46	14	16	-	-
2016	양천구	신월1동	751	-	1,135	645	901	84	198	22	36	-	-
2016	양천구	신월2동	384	-	567	352	496	24	63	8	8	-	-
2016	양천구	신월3동	708	-	1,036	607	854	79	148	22	34	-	-
2016	양천구	신월4동	191	-	267	161	214	21	43	9	10	-	-
2016	양천구	신월5동	301	-	456	271	392	23	54	7	10	-	-
2016	양천구	신월6동	107	-	157	101	149	3	2	3	6	-	-
2016	양천구	신월7동	417	-	656	371	559	36	84	10	13	-	-
2016	양천구	신정1동	135	-	222	115	189	17	30	3	3	-	-
2016	양천구	신정2동	310	-	426	280	373	23	45	7	8	-	-
2016	양천구	신정3동	893	-	1,440	759	1,153	108	241	26	46	-	-
2016	양천구	신정6동	16	-	19	16	19	-	-	-	-	-	-
2016	양천구	신정7동	793	-	1,120	648	901	99	163	46	56	-	-
2016	양천구	목5동	11	-	13	11	13	-	-	-	-	-	-
2016	양천구	신정4동	642	-	943	563	784	66	143	13	16	-	-
2016	양천구	기타	-	31	354	-	-	-	-	-	-	31	354
2016	강서구	소계	13,757	34	21,071	12,154	17,409	1,169	2,458	434	734	34	470
2016	강서구	염창동	98	-	129	92	114	5	14	1	1	-	-
2016	강서구	등촌1동	123	-	174	112	152	8	18	3	4	-	-
2016	강서구	등촌2동	173	-	262	155	216	17	45	1	1	-	-
2016	강서구	등촌3동	3,349	-	5,271	2,905	4,346	336	733	108	192	-	-
2016	강서구	화곡본동	740	-	1,189	647	989	76	176	17	24	-	-
2016	강서구	화곡2동	345	-	560	317	497	21	44	7	19	-	-
2016	강서구	화곡3동	246	-	361	219	306	22	45	5	10	-	-
