기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	소계	소계	개인단위보장특례	개인단위보장특례	타법령에 의한 특례	타법령에 의한 특례	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	가구	인원	가구	인원	시설수	인원
2012	마포구	망원1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	마포구	망원2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	마포구	연남동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	마포구	성산1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	마포구	성산2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	마포구	상암동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	마포구	도화동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	마포구	서강동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	마포구	공덕동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	마포구	아현동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	마포구	기타	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	소계	4,270	28	7,030	3,641	5,200	467	1,167	162	260	40	83	122	177	28	403
2012	양천구	목1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	목2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	목3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	목4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신월1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신월2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신월3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신월4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신월5동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신월6동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신월7동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신정1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신정2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신정3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신정6동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신정7동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	목5동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신정4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	기타	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	소계	10,263	32	17,596	8,945	14,049	1,154	2,815	164	311	69	131	95	180	32	421
2012	강서구	염창동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	등촌1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	등촌2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	등촌3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	화곡본동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	화곡2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	화곡3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	화곡4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	화곡6동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	화곡8동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	가양1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	가양2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	가양3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	발산1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	공항동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	방화1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	방화2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	방화3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	화곡1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	우장산동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	기타	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	소계	3,785	20	6,041	3,243	4,396	458	1,145	84	135	60	101	24	34	20	365
