기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	남	여	계	남	여	계	남	여	계	남	여
2016	동작구	흑석동	1,129	281	848	130	36	94	69	18	51	930	227	703
2016	동작구	노량진1동	941	237	704	164	38	126	51	11	40	726	188	538
2016	동작구	사당2동	844	222	622	119	33	86	25	6	19	700	183	517
2016	관악구	소계	15,655	5,052	10,603	2,765	852	1,913	524	123	401	12,366	4,077	8,289
2016	관악구	보라매동	846	245	601	172	41	131	17	4	13	657	200	457
2016	관악구	청림동	584	153	431	126	44	82	28	6	22	430	103	327
2016	관악구	행운동	912	310	602	188	62	126	36	8	28	688	240	448
2016	관악구	낙성대동	481	160	321	63	21	42	13	5	8	405	134	271
2016	관악구	중앙동	552	170	382	84	26	58	19	3	16	449	141	308
2016	관악구	인헌동	704	208	496	74	21	53	22	5	17	608	182	426
2016	관악구	남현동	396	135	261	40	12	28	8	2	6	348	121	227
2016	관악구	서원동	613	209	404	87	28	59	21	7	14	505	174	331
2016	관악구	신원동	697	206	491	121	36	85	34	7	27	542	163	379
2016	관악구	서림동	636	203	433	86	28	58	16	8	8	534	167	367
2016	관악구	신사동	701	226	475	141	43	98	15	1	14	545	182	363
2016	관악구	신림동	475	191	284	79	37	42	16	5	11	380	149	231
2016	관악구	난향동	476	160	316	85	18	67	13	2	11	378	140	238
2016	관악구	조원동	559	208	351	71	21	50	24	6	18	464	181	283
2016	관악구	대학동	545	183	362	67	38	29	9	4	5	469	141	328
2016	관악구	은천동	1,048	332	716	233	63	170	38	8	30	777	261	516
2016	관악구	성현동	1,079	285	794	236	53	183	45	7	38	798	225	573
