기간	자치구	동	사업체수	종사자수	평균종사자	사업체 창업률
2016	강남구	삼성1동	4,330	66,958	15.46	16.77
2016	강남구	삼성2동	3,734	38,887	10.41	17.89
2016	강남구	대치1동	1,066	7,154	6.71	17.54
2016	강남구	대치4동	3,716	27,829	7.49	17.01
2016	강남구	역삼1동	15,079	147,157	9.76	19.18
2016	강남구	역삼2동	3,416	38,937	11.4	16.77
2016	강남구	도곡1동	1,614	17,135	10.62	13.63
2016	강남구	도곡2동	1,926	22,629	11.75	11.21
2016	강남구	개포1동	503	1,616	3.21	12.52
2016	강남구	개포4동	2,221	12,024	5.41	9
2016	강남구	일원본동	564	8,402	14.9	14.01
2016	강남구	일원1동	1,870	7,340	3.93	5.67
2016	강남구	일원2동	636	10,125	15.92	10.69
2016	강남구	수서동	1,584	15,857	10.01	10.1
2016	강남구	세곡동	950	5,285	5.56	20.42
2016	강남구	압구정동	4,314	29,474	6.83	16.16
2016	강남구	청담동	4,497	39,652	8.82	14.21
2016	강남구	대치2동	3,468	57,241	16.51	13.58
2016	강남구	개포2동	846	3,381	4	12.41
2016	송파구	계	45,555	312,661	6.86	13.73
2016	송파구	풍납1동	770	2,443	3.17	11.04
2016	송파구	풍납2동	1,182	15,395	13.02	11
2016	송파구	거여1동	881	3,041	3.45	12.15
2016	송파구	거여2동	951	4,152	4.37	8.94
2016	송파구	마천1동	948	2,165	2.28	12.66
2016	송파구	마천2동	1,373	4,414	3.21	11.65
2016	송파구	방이1동	1,326	12,889	9.72	14.25
2016	송파구	방이2동	2,969	22,135	7.46	15.8
2016	송파구	오륜동	516	4,514	8.75	8.14
2016	송파구	오금동	2,427	16,661	6.86	11.54
2016	송파구	송파1동	2,487	13,710	5.51	11.5
2016	송파구	송파2동	936	6,088	6.5	13.35
2016	송파구	석촌동	2,663	13,767	5.17	12.96
2016	송파구	삼전동	2,050	14,868	7.25	15.37
2016	송파구	가락본동	3,598	28,777	8	13.67
2016	송파구	가락1동	2,865	10,639	3.71	4.08
2016	송파구	가락2동	1,909	10,539	5.52	12.52
2016	송파구	문정1동	1,381	8,917	6.46	14.05
2016	송파구	문정2동	3,823	24,211	6.33	18.18
2016	송파구	장지동	1,426	10,324	7.24	12.76
2016	송파구	위례동	329	2,815	8.56	58.36
2016	송파구	잠실본동	3,149	22,442	7.13	18.45
2016	송파구	잠실4동	503	2,071	4.12	16.7
2016	송파구	잠실6동	2,493	39,676	15.91	12.56
2016	송파구	잠실7동	199	1,194	6	9.55
2016	송파구	잠실2동	821	4,616	5.62	18.15
2016	송파구	잠실3동	1,580	10,198	6.45	16.33
2016	강동구	계	30,268	141,100	4.66	12.43
2016	강동구	강일동	946	15,030	15.89	10.99
2016	강동구	상일동	1,018	5,201	5.11	10.61
2016	강동구	명일1동	1,681	6,083	3.62	12.91
2016	강동구	명일2동	1,151	4,698	4.08	11.38
2016	강동구	고덕1동	610	1,993	3.27	10.33
2016	강동구	고덕2동	1,786	3,245	1.82	3.36
2016	강동구	암사2동	864	5,139	5.95	12.04
2016	강동구	암사3동	609	2,009	3.3	9.69
