기간	자치구	동	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황
기간	자치구	동	합계	합계	합계	1급	1급	1급	2급	2급	2급	3급	3급	3급	4급	4급	4급	5급	5급	5급	6급	6급	6급
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2012	강북구	삼각산동	1,237	662	575	111	63	48	183	104	79	219	120	99	172	78	94	243	104	139	309	193	116
2012	강북구	우이동	982	555	427	85	53	32	111	62	49	165	91	74	165	74	91	206	121	85	250	154	96
2012	강북구	인수동	1,669	947	722	170	97	73	196	105	91	246	153	93	249	124	125	357	190	167	451	278	173
2012	도봉구	소계	14,972	8,747	6,225	1,251	706	545	2,001	1,148	853	2,368	1,490	878	2,246	1,141	1,105	3,278	1,719	1,559	3,828	2,543	1,285
2012	도봉구	쌍문1동	1,009	599	410	74	44	30	114	63	51	169	111	58	154	80	74	226	122	104	272	179	93
2012	도봉구	쌍문2동	952	540	412	75	38	37	129	71	58	151	90	61	159	74	85	193	109	84	245	158	87
2012	도봉구	쌍문3동	795	450	345	58	34	24	108	62	46	122	75	47	118	53	65	192	94	98	197	132	65
2012	도봉구	쌍문4동	637	371	266	37	19	18	91	57	34	88	62	26	109	47	62	158	80	78	154	106	48
2012	도봉구	방학1동	1,407	845	562	103	65	38	187	112	75	214	136	78	218	117	101	311	153	158	374	262	112
2012	도봉구	방학2동	1,120	681	439	83	50	33	137	83	54	186	127	59	174	93	81	249	136	113	291	192	99
2012	도봉구	방학3동	1,023	593	430	96	52	44	130	69	61	171	101	70	132	67	65	229	121	108	265	183	82
2012	도봉구	창1동	1,064	603	461	93	55	38	151	86	65	153	93	60	189	94	95	222	118	104	256	157	99
2012	도봉구	창2동	1,205	709	496	103	55	48	141	83	58	174	116	58	190	104	86	261	134	127	336	217	119
2012	도봉구	창3동	713	417	296	63	35	28	102	55	47	104	64	40	107	55	52	164	84	80	173	124	49
2012	도봉구	창4동	1,007	551	456	107	53	54	144	67	77	164	103	61	121	55	66	225	108	117	246	165	81
2012	도봉구	창5동	993	595	398	90	56	34	127	74	53	150	94	56	148	71	77	213	120	93	265	180	85
2012	도봉구	도봉1동	1,535	910	625	144	77	67	230	139	91	287	174	113	222	131	91	306	160	146	346	229	117
2012	도봉구	도봉2동	1,512	883	629	125	73	52	210	127	83	235	144	91	205	100	105	329	180	149	408	259	149
2012	노원구	소계	28,299	15,755	12,544	3,190	1,847	1,343	4,555	2,558	1,997	4,972	2,978	1,994	4,026	1,938	2,088	5,327	2,633	2,694	6,229	3,801	2,428
2012	노원구	월계1동	1,001	578	423	72	47	25	135	71	64	153	108	45	164	78	86	223	113	110	254	161	93
2012	노원구	월계2동	2,216	1,234	982	245	136	109	433	250	183	473	284	189	311	154	157	347	166	181	407	244	163
2012	노원구	월계3동	1,987	1,107	880	233	142	91	343	191	152	375	228	147	275	130	145	348	161	187	413	255	158
2012	노원구	공릉2동	1,564	879	685	133	82	51	183	105	78	219	126	93	264	131	133	336	176	160	429	259	170
