기간	자치구	동	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급
기간	자치구	동	합계	합계	합계	1급	1급	1급	2급	2급	2급	3급	3급	3급	4급	4급	4급	5급	5급	5급	6급	6급	6급
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2016	노원구	상계1동	1,902	1,074	828	265	162	103	230	131	99	287	168	119	258	128	130	369	179	190	493	306	187
2016	노원구	상계2동	887	535	352	84	53	31	121	77	44	174	103	71	119	72	47	199	108	91	190	122	68
2016	노원구	상계5동	1,349	755	594	88	60	28	171	100	71	230	135	95	197	94	103	301	137	164	362	229	133
2016	노원구	상계8동	724	404	320	51	34	17	88	52	36	114	67	47	120	53	67	140	64	76	211	134	77
2016	노원구	상계9동	761	419	342	77	45	32	106	62	44	119	66	53	80	38	42	185	89	96	194	119	75
2016	노원구	상계10동	583	321	262	58	32	26	83	43	40	91	62	29	85	40	45	125	63	62	141	81	60
2016	노원구	상계3.4동	1,760	1,000	760	114	68	46	246	145	101	298	177	121	258	127	131	391	191	200	453	292	161
2016	노원구	상계6.7동	1,272	691	581	132	70	62	161	86	75	209	125	84	155	67	88	271	140	131	344	203	141
2016	노원구	중계2.3동	3,214	1,727	1,487	479	275	204	660	359	301	638	361	277	418	209	209	469	227	242	550	296	254
2016	노원구	공릉1동	2,186	1,229	957	211	133	78	348	194	154	403	231	172	307	147	160	411	212	199	506	312	194
2016	은평구	소계	21,352	12,586	8,766	1,957	1,264	693	2,973	1,830	1,143	3,472	2,187	1,285	3,174	1,655	1,519	4,352	2,292	2,060	5,424	3,358	2,066
2016	은평구	녹번동	1,407	820	587	104	68	36	159	98	61	209	129	80	221	118	103	315	157	158	399	250	149
2016	은평구	불광1동	1,597	906	691	105	59	46	216	112	104	258	151	107	232	126	106	365	191	174	421	267	154
2016	은평구	갈현1동	1,115	650	465	75	45	30	152	95	57	198	115	83	178	92	86	226	122	104	286	181	105
2016	은평구	갈현2동	1,196	701	495	90	54	36	138	76	62	202	125	77	189	109	80	263	140	123	314	197	117
2016	은평구	구산동	2,280	1,644	636	467	393	74	536	422	114	386	292	94	231	142	89	304	184	120	356	211	145
2016	은평구	대조동	1,452	828	624	100	59	41	203	121	82	233	139	94	230	125	105	306	159	147	380	225	155
2016	은평구	응암1동	1,189	656	533	97	57	40	138	66	72	203	122	81	171	80	91	245	122	123	335	209	126
2016	은평구	응암2동	726	406	320	52	33	19	99	64	35	119	72	47	125	66	59	150	78	72	181	93	88
2016	은평구	신사1동	1,133	674	459	88	47	41	146	93	53	181	121	60	152	71	81	239	139	100	327	203	124
2016	은평구	신사2동	918	542	376	70	39	31	133	85	48	133	89	44	138	62	76	215	120	95	229	147	82
2016	은평구	증산동	798	470	328	52	33	19	101	59	42	133	81	52	128	71	57	168	82	86	216	144	72
2016	은평구	수색동	871	483	388	76	50	26	108	58	50	131	79	52	142	65	77	198	104	94	216	127	89
2016	은평구	진관동	1,855	1,044	811	206	131	75	228	129	99	307	190	117	262	119	143	377	201	176	475	274	201
2016	은평구	불광2동	1,451	833	618	102	52	50	195	111	84	226	146	80	234	118	116	285	146	139	409	260	149
2016	은평구	응암3동	1,277	749	528	96	56	40	149	91	58	197	125	72	207	117	90	292	145	147	336	215	121
2016	은평구	역촌동	2,087	1,180	907	177	88	89	272	150	122	356	211	145	334	174	160	404	202	202	544	355	189
2016	서대문구	소계	12,626	7,056	5,570	990	568	422	1,640	964	676	2,021	1,184	837	1,971	945	1,026	2,734	1,402	1,332	3,270	1,993	1,277
2016	서대문구	천연동	784	434	350	68	37	31	119	74	45	129	75	54	127	55	72	153	76	77	188	117	71
2016	서대문구	홍제1동	951	532	419	70	41	29	129	78	51	150	90	60	137	60	77	224	116	108	241	147	94
2016	서대문구	홍제3동	920	497	423	58	29	29	106	66	40	140	77	63	146	69	77	213	100	113	257	156	101
2016	서대문구	홍제2동	644	346	298	65	34	31	72	42	30	92	61	31	107	50	57	151	68	83	157	91	66
2016	서대문구	홍은1동	1,037	567	470	73	43	30	135	77	58	155	93	62	172	85	87	226	117	109	276	152	124
2016	서대문구	홍은2동	1,307	756	551	112	64	48	189	113	76	219	140	79	183	94	89	280	147	133	324	198	126
