,읍면동명,자치구,소득(동별),인구밀도,사업체수,장애등급,독거노인수,노령화지수,새누리당,더민주
181,노량진1동,동작구,411804.1804515125,20761,2148,1263,1027,158.6,5246.7,5724.1
182,노량진2동,동작구,176251.1282403584,22355,1634,666,733,326.2,2017.3,2693.7
183,상도2동,동작구,371296.9876561256,28334,1344,951,732,122.8,3856.3,4631.2
184,상도3동,동작구,329804.5871781567,43635,1017,1138,830,168.9,3634.1,4890.9
185,상도4동,동작구,380277.53460889135,40352,934,1306,1192,149.7,5379.5,4493.6
186,대방동,동작구,508316.6407413633,26039,1734,1605,1236,108.2,6409.9,7688.2
187,신대방1동,동작구,337837.8190515168,43894,1052,820,625,101.9,2964.7,5232.8
188,신대방2동,동작구,261787.36447682872,20462,1238,720,503,105.6,4044.6,4200.6
189,상도1동,동작구,610980.3336134885,31998,1697,1556,1245,121.9,6336.0,7792.6
190,흑석동,동작구,448168.44863296533,19780,1514,1098,1059,159.6,4154.4,4762.9
191,사당1동,동작구,304896.51602364995,30461,1856,797,385,231.4,2523.3,3526.7
192,사당2동,동작구,359613.43501012214,10452,1667,893,751,164.1,4606.5,4038.6
193,사당3동,동작구,331888.68035284925,29089,959,815,567,128.5,4092.8,3623.5
194,사당4동,동작구,188225.1908440462,39713,664,560,491,191.5,2776.3,2790.3
195,사당5동,동작구,163658.15311812554,23170,508,503,364,134.6,1793.8,2436.8
196,공덕동,마포구,1722207.5102734664,40105,2781,1500,1434,157.0,4597.5,7232.9
197,아현동,마포구,1076978.8166725016,33572,1630,684,498,81.5,4766.3,5433.9
198,도화동,마포구,961268.5960477692,36847,2047,770,695,138.8,3613.1,4477.5
199,용강동,마포구,950240.4958415995,26961,2550,622,569,76.3,4381.7,5280.0
200,대흥동,마포구,584319.6478468899,15524,1547,431,528,239.0,1856.1,1315.0
201,염리동,마포구,574012.6157311238,30379,699,455,445,118.6,2930.3,2960.0
202,신수동,마포구,954948.6463142334,27956,1230,683,546,118.6,3107.0,3808.1
203,서강동,마포구,1112989.8054226476,17670,1779,681,543,103.5,3811.8,4462.0
204,서교동,마포구,1107221.2606994202,15918,9686,685,617,195.7,3561.9,3885.0
205,합정동,마포구,813322.3902050025,11358,2044,611,558,135.3,2971.9,3484.4
206,망원1동,마포구,932934.861671918,19580,1802,854,733,164.9,3402.8,4349.4
207,망원2동,마포구,817351.8883572569,29315,1360,775,532,124.2,4250.7,3746.6
208,연남동,마포구,723231.2946746022,27177,1611,541,466,198.9,2606.1,3234.7
209,성산1동,마포구,860531.142241413,25554,1488,712,521,145.1,3198.2,3591.1
210,성산2동,마포구,1765471.59569767,20166,1747,2027,1353,115.2,7178.7,6608.8
211,상암동,마포구,1398702.4323024857,3994,2324,1188,413,61.9,5309.6,7186.3
212,충현동,서대문구,419462.37561904296,16331,1825,725,783,217.7,3247.6,3562.1
