기간	자치구	동	합계	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	집단급식소	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업
기간	자치구	동	합계	소계	휴게음식점	일반음식점	제과점	단란주점	유흥주점	위탁급식영업	집단급식소	소계	식품제조가공업	즉석판매제조가공업	식품첨가물 제조업	소계	식품운반업	식품판매업	식품보존업	용기·포장류제조업	소계	건강기능식품수입업	건강기능식품판매업
2016	성북구	길음1동	399	295	72	198	21	1	1	2	17	40	3	37	-	6	-	6	-	-	41	…	41
2016	성북구	길음2동	215	132	41	81	9	-	-	1	6	43	-	43	-	3	-	3	-	-	31	…	31
2016	성북구	월곡1동	470	360	78	257	14	7	-	4	23	44	5	39	-	7	-	7	-	-	36	…	36
2016	성북구	월곡2동	329	249	53	184	4	1	-	7	12	22	5	17	-	6	-	6	-	-	40	…	40
2016	성북구	장위1동	328	250	38	203	5	3	-	1	8	23	3	20	-	6	-	6	-	-	41	…	41
2016	성북구	장위2동	297	215	11	191	5	8	-	-	9	43	2	41	-	3	-	3	-	-	27	…	27
2016	성북구	장위3동	112	86	8	75	2	1	-	-	6	8	1	7	-	2	-	2	-	-	10	…	10
2016	성북구	성북동	293	235	73	157	5	-	-	-	11	16	5	11	-	7	-	7	-	-	24	…	24
2016	성북구	삼선동	635	502	87	391	8	11	1	4	17	45	2	43	-	8	-	8	-	-	63	…	63
2016	성북구	동선동	739	662	114	515	15	13	3	2	16	11	2	9	-	4	-	4	-	-	46	…	46
2016	성북구	종암동	473	349	61	268	10	5	1	4	27	38	8	30	-	5	-	5	-	-	54	…	54
2016	성북구	석관동	518	390	47	334	5	2	-	2	14	49	8	41	-	11	-	11	-	-	54	…	54
2016	성북구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	강북구	계	6,253	4,596	549	3,746	84	128	72	17	170	469	45	424	-	441	-	441	-	-	577	…	577
2016	강북구	번1동	583	431	50	348	7	22	4	-	11	31	3	28	-	45	-	45	-	-	65	…	65
2016	강북구	번2동	131	78	15	59	3	-	-	1	10	6	1	5	-	23	-	23	-	-	14	…	14
2016	강북구	번3동	153	100	21	76	3	-	-	-	9	9	2	7	-	21	-	21	-	-	14	…	14
2016	강북구	수유1동	571	331	42	268	7	6	7	1	16	94	9	85	-	39	-	39	-	-	91	…	91
2016	강북구	수유2동	414	281	31	235	7	6	-	2	14	46	6	40	-	28	-	28	-	-	45	…	45
2016	강북구	수유3동	971	817	56	665	10	52	34	-	9	42	5	37	-	56	-	56	-	-	47	…	47
2016	강북구	삼양동	354	215	37	165	7	5	-	1	19	34	-	34	-	26	-	26	-	-	60	…	60
2016	강북구	미아동	751	560	82	431	16	9	15	7	14	56	2	54	-	50	-	50	-	-	71	…	71
2016	강북구	송중동	690	541	80	432	8	14	6	1	16	49	4	45	-	34	-	34	-	-	50	…	50
2016	강북구	송천동	592	464	40	413	4	5	1	1	12	39	2	37	-	41	-	41	-	-	36	…	36
2016	강북구	삼각산동	226	156	25	126	4	1	-	-	9	23	2	21	-	10	-	10	-	-	28	…	28
2016	강북구	우이동	419	332	25	293	5	7	-	2	14	17	3	14	-	30	-	30	-	-	26	…	26
2016	강북구	인수동	392	285	42	233	3	1	5	1	17	23	6	17	-	38	-	38	-	-	29	…	29
2016	강북구	기타	6	5	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	…	1
2016	도봉구	계	4,635	3,058	499	2,369	83	55	21	31	209	581	56	525	-	339	3	336	-	-	448	…	448
2016	도봉구	쌍문1동	270	160	49	102	6	-	-	3	22	34	6	28	-	18	-	18	-	-	36	…	36
2016	도봉구	쌍문2동	316	214	46	160	5	2	-	1	12	34	2	32	-	16	-	16	-	-	40	…	40
2016	도봉구	쌍문3동	227	160	25	124	4	4	1	2	10	26	2	24	-	13	-	13	-	-	18	…	18
2016	도봉구	쌍문4동	103	63	15	45	2	-	-	1	13	8	-	8	-	9	-	9	-	-	10	…	10
2016	도봉구	방학1동	774	556	77	440	14	17	-	8	25	79	8	71	-	43	-	43	-	-	71	…	71
2016	도봉구	방학2동	283	180	20	151	6	2	-	1	14	39	6	33	-	26	1	25	-	-	24	…	24
2016	도봉구	방학3동	161	97	18	77	2	-	-	-	13	20	2	18	-	11	-	11	-	-	20	…	20
2016	도봉구	창1동	311	185	39	136	4	5	-	1	12	47	4	43	-	20	-	20	-	-	47	…	47
2016	도봉구	창2동	326	202	34	160	5	2	-	1	16	42	5	37	-	36	-	36	-	-	30	…	30
2016	도봉구	창3동	253	181	23	149	5	4	-	-	10	38	6	32	-	15	1	14	-	-	9	…	9
2016	도봉구	창4동	412	230	41	152	9	6	19	3	15	91	1	90	-	38	-	38	-	-	38	…	38
2016	도봉구	창5동	361	241	46	180	7	4	1	3	13	37	1	36	-	33	-	33	-	-	37	…	37
2016	도봉구	도봉1동	492	357	37	305	4	7	-	4	20	48	5	43	-	30	-	30	-	-	37	…	37
2016	도봉구	도봉2동	346	232	29	188	10	2	-	3	14	38	8	30	-	31	1	30	-	-	31	…	31
2016	도봉구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	노원구	계	7,165	4,825	1,046	3,496	154	56	25	48	308	663	33	630	-	561	6	555	-	-	808	…	808
2016	노원구	월계1동	444	344	63	272	8	-	-	1	13	21	2	19	-	26	-	26	-	-	40	…	40
2016	노원구	월계2동	180	107	23	73	4	-	-	7	19	17	-	17	-	21	-	21	-	-	16	…	16
2016	노원구	월계3동	209	103	40	52	9	-	-	2	14	43	2	41	-	21	-	21	-	-	28	…	28
2016	노원구	공릉2동	596	430	102	300	14	3	-	11	36	38	2	36	-	36	-	36	-	-	56	…	56
2016	노원구	하계1동	364	216	62	145	4	-	-	5	24	51	2	49	-	25	-	25	-	-	48	…	48
2016	노원구	하계2동	78	37	7	29	1	-	-	-	8	14	1	13	-	8	-	8	-	-	11	…	11
2016	노원구	중계본동	332	228	58	159	8	-	-	3	13	28	3	25	-	25	-	25	-	-	38	…	38
2016	노원구	중계1동	280	162	70	81	7	-	-	4	13	41	-	41	-	29	-	29	-	-	35	…	35
2016	노원구	중계4동	383	269	48	211	9	-	-	1	13	25	-	25	-	31	1	30	-	-	45	…	45
