기간,자치구,동,계,소득(구별),인구비,소득(동별),,기간,자치구,지역내총생산(당해년가격)
2012,중랑구,신내2동,"25,181",3592733,0.059437514,213543.118,,,,
2012,중랑구,면목본동,"37,090",3592733,0.087547651,314535.3341,,,,
2012,중랑구,면목3.8동,"29,569",3592733,0.069794998,250754.7936,,,,
2012,중랑구,망우본동,"34,992",3592733,0.082595508,296743.6077,,,,
2012,성북구,소계,"490,639",4630451,1,4630451,,,,
2012,성북구,돈암1동,"16,706",4630451,0.034049474,157664.4221,,,,
2012,성북구,돈암2동,"23,373",4630451,0.047637876,220584.852,,,,
2012,성북구,안암동,"18,392",4630451,0.037485809,173576.2033,,,,
2012,성북구,보문동,"14,422",4630451,0.02939432,136108.9606,,,,
2012,성북구,정릉1동,"20,659",4630451,0.042106314,194971.2257,,,,
2012,성북구,정릉2동,"24,616",4630451,0.050171307,232315.7797,,,,
2012,성북구,정릉3동,"18,502",4630451,0.037710007,174614.3384,,,,
