기간,컬럼1,컬럼2,계,남자,여자,계,남자,여자
2008,금천구,시흥2동,"26,053","12,997","13,056","2,191",928,"1,263"
2008,금천구,시흥3동,"13,276","6,741","6,535","1,340",574,766
2008,금천구,시흥4동,"26,257","13,218","13,039","2,024",843,"1,181"
2008,금천구,시흥5동,"26,122","13,135","12,987","2,489","1,021","1,468"
2008,영등포구,소계,"443,537","223,825","219,712","37,599","16,353","21,246"
2008,영등포구,여의동,"33,941","16,543","17,398","3,605","1,602","2,003"
2008,영등포구,당산1동,"20,936","10,573","10,363","2,016",919,"1,097"
2008,영등포구,당산2동,"33,493","16,538","16,955","2,815","1,188","1,627"
2008,영등포구,양평1동,"17,300","8,763","8,537","1,521",660,861
2008,영등포구,양평2동,"21,924","11,170","10,754","1,576",648,928
2008,영등포구,신길1동,"26,620","13,421","13,199","2,284",971,"1,313"
2008,영등포구,신길3동,"20,995","10,568","10,427","1,894",788,"1,106"
2008,영등포구,신길4동,"14,767","7,447","7,320","1,360",561,799
2008,영등포구,신길5동,"20,030","10,157","9,873","1,686",728,958
2008,영등포구,신길6동,"26,016","12,957","13,059","2,221",911,"1,310"
2008,영등포구,신길7동,"20,344","10,196","10,148","1,637",654,983
2008,영등포구,대림1동,"20,970","10,583","10,387","1,709",746,963
2008,영등포구,대림2동,"27,705","14,016","13,689","1,866",875,991
2008,영등포구,대림3동,"33,951","17,122","16,829","2,359","1,051","1,308"
2008,영등포구,영등포본동,"28,360","14,392","13,968","2,286","1,001","1,285"
2008,영등포구,영등포동,"19,169","10,624","8,545","2,075",954,"1,121"
2008,영등포구,도림동,"24,923","12,659","12,264","2,041",882,"1,159"
2008,영등포구,문래동,"32,093","16,096","15,997","2,648","1,214","1,434"
2008,동작구,소계,"410,934","202,654","208,280","38,002","16,672","21,330"
2008,동작구,노량진2동,"18,033","8,956","9,077","1,812",784,"1,028"
2008,동작구,상도1동,"40,003","19,653","20,350","3,736","1,600","2,136"
2008,동작구,상도2동,"25,910","12,744","13,166","2,508","1,086","1,422"
2008,동작구,상도3동,"24,295","11,957","12,338","2,508","1,128","1,380"
2008,동작구,상도4동,"30,076","14,960","15,116","2,936","1,300","1,636"
2008,동작구,사당1동,"23,536","11,376","12,160","1,837",867,970
2008,동작구,사당3동,"26,013","12,948","13,065","2,368","1,102","1,266"
2008,동작구,사당4동,"14,853","7,291","7,562","1,367",615,752
2008,동작구,사당5동,"16,088","8,040","8,048","1,300",583,717
2008,동작구,대방동,"39,788","19,508","20,280","3,327","1,427","1,900"
2008,동작구,신대방1동,"29,976","14,788","15,188","2,198",970,"1,228"
2008,동작구,신대방2동,"20,919","10,212","10,707","1,847",836,"1,011"
2008,동작구,흑석동,"34,616","17,099","17,517","3,869","1,609","2,260"
2008,동작구,노량진1동,"35,006","17,546","17,460","3,557","1,495","2,062"
2008,동작구,사당2동,"31,822","15,576","16,246","2,832","1,270","1,562"
2008,관악구,소계,"551,873","279,975","271,898","44,193","19,856","24,337"
2008,관악구,보라매동,"27,560","13,768","13,792","2,417","1,063","1,354"
2008,관악구,청림동,"17,772","8,765","9,007","1,539",659,880
2008,관악구,행운동,"30,706","15,376","15,330","2,397","1,108","1,289"
2008,관악구,낙성대동,"18,297","9,455","8,842","1,276",567,709
2008,관악구,중앙동,"15,056","7,540","7,516","1,412",649,763
2008,관악구,인헌동,"29,440","14,675","14,765","2,334","1,060","1,274"
2008,관악구,남현동,"18,029","8,842","9,187","1,477",693,784
2008,관악구,서원동,"28,402","14,195","14,207","1,827",845,982
2008,관악구,신원동,"21,530","10,624","10,906","1,832",832,"1,000"
2008,관악구,서림동,"25,352","13,894","11,458","1,962",880,"1,082"
2008,관악구,신사동,"27,930","13,972","13,958","1,856",862,994
2008,관악구,신림동,"17,811","8,828","8,983","1,145",542,603
2008,관악구,난향동,"18,298","9,102","9,196","1,434",598,836
2008,관악구,조원동,"19,887","10,011","9,876","1,602",740,862
2008,관악구,대학동,"23,345","13,889","9,456","1,629",745,884
2008,관악구,은천동,"40,454","20,178","20,276","3,118","1,380","1,738"
2008,관악구,성현동,"35,685","17,749","17,936","3,245","1,413","1,832"
2008,관악구,청룡동,"35,342","17,756","17,586","2,660","1,230","1,430"
2008,관악구,난곡동,"33,136","16,946","16,190","2,957","1,331","1,626"
2008,관악구,삼성동,"32,032","16,252","15,780","3,381","1,456","1,925"
2008,관악구,미성동,"35,809","18,158","17,651","2,693","1,203","1,490"
2008,서초구,소계,"412,065","200,313","211,752","30,808","13,801","17,007"
2008,서초구,서초1동,"21,915","10,685","11,230","1,466",637,829
2008,서초구,서초2동,"23,277","11,410","11,867","1,629",737,892
2008,서초구,서초3동,"31,257","15,708","15,549","2,448","1,180","1,268"
2008,서초구,서초4동,"28,416","13,838","14,578","1,966",907,"1,059"
2008,서초구,잠원동,"37,717","18,057","19,660","2,490",973,"1,517"
2008,서초구,반포본동,"14,304","6,749","7,555","1,193",575,618
2008,서초구,반포1동,"19,500","9,322","10,178","1,085",483,602
2008,서초구,반포2동,"13,332","6,411","6,921",981,456,525
2008,서초구,반포3동,"24,554","11,821","12,733","1,844",770,"1,074"
2008,서초구,반포4동,"20,888","10,106","10,782","1,496",660,836
