읍면동명,자치구,소득(동별),인구밀도,사업체수,장애등급,독거노인수,노령화지수
용산2가동,용산구,497812.78644347296,6177,557,488,511,228.8
남영동,용산구,358537.97255386977,7144,1714,575,852,378.0
청파동,용산구,871624.703843846,22991,1881,824,740,233.9
원효로1동,용산구,693049.9877872068,27176,1815,444,378,97.6
원효로2동,용산구,621855.7324696211,21217,1010,496,444,128.6
효창동,용산구,428301.610447816,20577,462,307,250,127.9
용문동,용산구,532231.7585769157,45561,660,475,352,145.8
한강로동,용산구,820669.4773724534,6624,4972,519,708,186.7
이촌1동,용산구,1230793.831143439,10259,813,538,632,89.8
이촌2동,용산구,379744.7720101719,7451,350,378,354,186.5
이태원1동,용산구,382311.4679761132,16342,1652,236,319,249.5
이태원2동,용산구,454936.34071733843,12706,752,337,427,194.6
한남동,용산구,993016.7999379564,7869,2080,644,812,164.7
서빙고동,용산구,594211.1546069415,5092,385,408,408,119.3
보광동,용산구,668897.7995175293,22710,844,626,702,248.7
녹번동,은평구,308447.18872632197,19498,1895,1528,1567,172.7
응암1동,은평구,208123.84737503575,21821,1600,1155,898,129.6
응암2동,은평구,193048.26671109657,27033,654,760,678,87.0
응암3동,은평구,211729.05326035307,41932,1844,1336,1461,258.3
증산동,은평구,131387.92928239526,20262,1017,711,629,185.0
수색동,은평구,73510.63300689691,8733,625,594,651,230.2
신사1동,은평구,231654.6866848089,34436,1290,1217,841,151.9
신사2동,은평구,177819.10104307433,22247,1691,977,809,150.7
역촌동,은평구,395141.8818205567,42773,2511,2110,1671,142.8
갈현2동,은평구,244402.24202370012,31971,1596,1208,923,147.5
구산동,은평구,273567.22595694003,24733,1205,2301,1052,155.8
갈현1동,은평구,200210.1779541261,25970,1457,1115,1064,198.7
진관동,은평구,469145.6035247728,4899,1648,1906,1041,73.4
불광1동,은평구,331808.2761894771,13286,1677,1682,1731,163.5
불광2동,은평구,239075.2674083993,21677,1321,1492,1489,228.8
대조동,은평구,240756.6190320452,38362,2530,1439,1466,197.0
청운효자동,종로구,2253477.740083508,5172,1016,500,440,135.9
사직동,종로구,1669880.3727127598,7982,3544,309,363,165.7
삼청동,종로구,518695.8312354169,2062,753,118,154,221.7
부암동,종로구,1811906.2807012158,4642,567,325,315,170.1
평창동,종로구,3241633.7544516763,2154,739,542,637,157.4
무악동,종로구,1505474.6246776376,22944,531,318,231,112.2
교남동,종로구,1855633.0451000857,30989,347,354,324,109.0
가회동,종로구,772448.7868414589,8419,747,175,197,228.9
종로1.2.3.4가동,종로구,1485677.0738671252,3601,15851,379,838,423.5
종로5·6가동,종로구,984196.5042060666,9328,7613,266,731,419.6
