읍면동명,자치구,새누리당,더불어민주당,소득(동별),인구밀도,사업체수,장애등급,독거노인수,노령화지수
방배2동,서초구,2938.9592724170247,1057.6,1432133.088754256,11653.0,1977.0,756.0,742.0,151.1
방배3동,서초구,2012.1535046199606,2441.2,1523881.761674685,9278.0,1196.0,603.0,555.0,150.7
양재1동,서초구,4042.6655504716136,2851.0,3118506.2224106165,8110.0,3599.0,1940.0,978.0,80.5
양재2동,서초구,2871.9450585896907,2429.0,1575448.0394386775,3170.0,5271.0,674.0,505.0,99.1
내곡동,서초구,3056.3691402741333,2881.9,1256631.565221087,1474.0,681.0,852.0,502.0,91.7
성북동,성북구,2075.47848672339,2305.1,203018.04300462,6259.0,1132.0,587.0,620.0,183.2
삼선동,성북구,3834.58876969287,3360.7,305589.7756708668,29316.0,1906.0,965.0,936.0,161.5
동선동,성북구,2153.3054258642023,2092.0,189105.14333405264,22447.0,1995.0,575.0,515.0,195.1
돈암2동,성북구,3411.565618403077,2254.7,288092.379966264,52652.0,433.0,724.0,447.0,80.1
안암동,성북구,2012.1535046199606,2430.9,205384.72948863046,12977.0,1456.0,575.0,514.0,221.0
보문동,성북구,2012.1535046199606,2294.3,193459.38691385865,30477.0,1330.0,621.0,570.0,145.7
정릉1동,성북구,2744.130727278285,3044.1,223847.18181778144,42368.0,753.0,658.0,502.0,123.7
정릉2동,성북구,3771.9588870467273,2826.0,275431.75615374115,20741.0,887.0,973.0,783.0,152.0
정릉3동,성북구,2804.1461200738895,2330.3,199766.72128144035,4661.0,677.0,758.0,788.0,246.5
정릉4동,성북구,4088.0447236406235,3030.7,309024.9177034841,8678.0,921.0,1062.0,903.0,139.7
길음1동,성북구,4008.1838444301534,3030.7,428106.011911106,47885.0,1092.0,1064.0,636.0,57.9
돈암1동,성북구,1524.275318881518,2865.4,184371.77036603141,33478.0,389.0,627.0,501.0,156.0
길음2동,성북구,1783.0109069279663,1722.0,190081.68872794046,20288.0,935.0,443.0,431.0,136.6
