읍면동명,자치구,새누리당,더불어민주당,국민의당,독거노인수,노령화지수,사업체수,장애등급,인구밀도,소득(동별)
사당4동,동작구,3212.0,2392,2305.0,469.0,155.3,684,538.0,39587,188225.1908440462
사당5동,동작구,2796.0,2130,1776.0,347.0,110.6,506,498.0,23489,163658.15311812554
공덕동,마포구,6063.0,9019,1875.0,1378.0,139.2,2764,1527.0,39312,1722207.5102734664
아현동,마포구,4884.0,7539,1139.0,527.0,84.9,1745,712.0,34539,1076978.8166725016
도화동,마포구,4234.0,6248,1080.0,645.0,122.6,2012,781.0,37721,961268.5960477692
용강동,마포구,3689.0,5980,838.0,623.0,69.9,2608,599.0,26827,950240.4958415995
대흥동,마포구,1966.0,3284,664.0,515.0,213.0,1583,451.0,16163,584319.6478468899
염리동,마포구,2197.0,3433,587.0,476.0,140.0,720,442.0,27984,574012.6157311238
신수동,마포구,3406.0,5455,883.0,527.0,103.7,1174,712.0,28324,954948.6463142334
서강동,마포구,4363.0,5515,1835.0,535.0,89.0,1699,712.0,18181,1112989.8054226476
서교동,마포구,3979.0,5749,1869.0,614.0,167.7,9536,744.0,16847,1107221.2606994202
합정동,마포구,2996.0,3785,1348.0,525.0,112.9,2049,594.0,11995,813322.3902050025
망원1동,마포구,3353.0,4216,1766.0,720.0,140.1,1771,852.0,19554,932934.861671918
망원2동,마포구,3334.0,3840,1666.0,492.0,104.0,1362,812.0,30588,817351.8883572569
연남동,마포구,2869.0,3855,1327.0,462.0,162.1,1506,575.0,28603,723231.2946746022
성산1동,마포구,2916.0,3818,1536.0,538.0,121.4,1539,683.0,26048,860531.142241413
성산2동,마포구,6172.0,7928,3138.0,1313.0,96.1,1782,1970.0,19420,1765471.59569767
상암동,마포구,4970.0,6893,2543.0,378.0,53.2,2341,1226.0,4025,1398702.4323024857
충현동,서대문구,3700.0,4197,0.0,760.0,185.5,1812,751.0,17154,419462.37561904296
천연동,서대문구,4164.0,5409,0.0,872.0,116.7,922,784.0,20531,432362.18883701705
북아현동,서대문구,2523.0,3164,0.0,484.0,141.6,790,518.0,28246,404860.98276090826
신촌동,서대문구,2742.0,4883,0.0,528.0,128.9,3642,507.0,8775,570489.0658430246
연희동,서대문구,7549.0,10211,0.0,1245.0,156.6,2248,1392.0,13584,950999.0642940672
홍제1동,서대문구,4945.0,6380,0.0,832.0,144.8,1119,951.0,20311,575892.7309165075
홍제2동,서대문구,3563.0,4428,0.0,498.0,144.8,590,644.0,14521,336383.89940417605
홍제3동,서대문구,3733.0,4360,978.0,760.0,195.7,1255,920.0,23973,380188.07797858
홍은1동,서대문구,5068.0,5529,1151.0,897.0,160.9,981,1037.0,15092,523304.7223077611
홍은2동,서대문구,5412.0,6411,1369.0,891.0,146.8,1168,1307.0,14857,653084.6613491973
남가좌1동,서대문구,2632.0,3650,643.0,340.0,60.3,733,511.0,33194,391570.2661120865
남가좌2동,서대문구,4879.0,6399,1326.0,826.0,150.5,1308,1039.0,30570,591620.8454282619
북가좌1동,서대문구,4075.0,4525,1156.0,388.0,90.3,642,721.0,38217,441215.0018297442
북가좌2동,서대문구,5843.0,7454,2102.0,1161.0,142.1,2330,1544.0,41433,780772.1173196251
잠원동,서초구,8373.0,4004,1942.0,695.0,63.1,2273,607.0,19906,2368457.4332258105
반포본동,서초구,3638.0,1433,771.0,252.0,81.2,677,195.0,12833,820317.1598040701
반포1동,서초구,6433.0,3446,1768.0,545.0,58.1,1517,546.0,30431,2245538.605546595
반포2동,서초구,5606.0,1895,1127.0,322.0,55.2,452,352.0,17401,1109996.315442795
반포3동,서초구,5610.0,2255,1266.0,381.0,61.3,922,344.0,15046,1377178.7506903952
반포4동,서초구,5104.0,2355,1168.0,359.0,68.8,3594,363.0,14378,1373519.6455665377
방배본동,서초구,5566.0,2736,1410.0,413.0,81.4,1670,492.0,32770,1454900.8539693698
방배1동,서초구,4028.0,2707,1324.0,385.0,118.2,1767,454.0,24574,1189819.016107688
방배4동,서초구,6077.0,3798,1845.0,523.0,86.9,2384,671.0,27038,1645106.5592039663
서초1동,서초구,4758.0,3186,1311.0,439.0,87.1,3626,448.0,15062,1470960.2597907446
서초2동,서초구,4924.0,2972,1212.0,400.0,81.3,4406,358.0,17128,1265440.5220007442
서초3동,서초구,6998.0,4288,1925.0,623.0,129.4,7466,644.0,10281,2105137.3867200604
서초4동,서초구,7134.0,3398,1444.0,442.0,61.8,2916,405.0,32976,2160633.8144319
방배2동,서초구,5809.0,4736,2234.0,706.0,135.8,1957,904.0,14370,1432133.088754256
방배3동,서초구,5774.0,3549,1633.0,518.0,127.3,1222,588.0,10023,1523881.761674685
양재1동,서초구,8392.0,8793,2991.0,882.0,65.5,3631,1953.0,8289,3118506.2224106165
양재2동,서초구,3820.0,4728,1627.0,476.0,82.1,5257,664.0,3139,1575448.0394386775
내곡동,서초구,3643.0,3514,1164.0,450.0,80.0,667,884.0,1497,1256631.565221087
성북동,성북구,3258.0,3995,1093.0,608.0,159.5,1107,597.0,6409,203018.04300462
삼선동,성북구,4800.0,6370,1926.0,898.0,136.1,1849,981.0,29902,305589.7756708668
동선동,성북구,2531.0,4108,1104.0,506.0,153.5,1936,553.0,22973,189105.14333405264
돈암2동,성북구,4402.0,5243,1488.0,400.0,69.4,398,652.0,49335,288092.379966264
안암동,성북구,2531.0,3645,1189.0,497.0,185.8,1462,618.0,13692,205384.72948863052
보문동,성북구,2492.0,2692,1028.0,539.0,159.1,1303,605.0,26909,193459.38691385865
정릉1동,성북구,3409.0,4076,1458.0,472.0,99.9,732,690.0,43802,223847.18181778144
정릉2동,성북구,4253.0,4886,1688.0,791.0,127.2,900,970.0,21033,275431.75615374115
정릉3동,성북구,3004.0,2901,1054.0,777.0,201.0,667,773.0,4752,199766.72128144035
정릉4동,성북구,4579.0,5808,1956.0,830.0,112.1,929,1046.0,8888,309024.9177034841
길음1동,성북구,5712.0,9264,2457.0,580.0,52.8,968,1057.0,47985,428106.011911106
돈암1동,성북구,2759.0,3301,1831.0,472.0,122.4,394,637.0,34708,184371.77036603141
길음2동,성북구,2280.0,3066,1395.0,448.0,135.3,1296,532.0,22712,190081.68872794046
종암동,성북구,6067.0,7925,4352.0,1258.0,102.3,2048,1572.0,29880,487020.42108589475
월곡1동,성북구,3649.0,5767,2942.0,795.0,90.9,1376,1184.0,35123,318215.93317537004
월곡2동,성북구,3227.0,3908,1989.0,596.0,127.4,1594,930.0,15549,236335.4740902064
장위1동,성북구,3175.0,3377,2031.0,702.0,160.5,1028,1032.0,32247,239621.2621214057
장위2동,성북구,3274.0,2960,1720.0,811.0,190.8,1606,998.0,30646,163220.94601135398
장위3동,성북구,2107.0,1947,1315.0,477.0,139.8,804,688.0,20348,157511.02764944485
석관동,성북구,5206.0,5387,3187.0,1186.0,154.4,2163,1640.0,20273,420006.4295265066
풍납1동,송파구,3538.0,3093,1273.0,549.0,145.2,770,712.0,23421,504675.5765031315
풍납2동,송파구,5110.0,5173,1817.0,484.0,82.9,1182,827.0,16253,796125.1592897078
방이1동,송파구,3502.0,2982,1174.0,257.0,80.5,1326,417.0,32716,530975.1637860239
방이2동,송파구,4205.0,4870,1906.0,541.0,110.5,2969,835.0,31808,842647.7788475871
오륜동,송파구,5297.0,3245,1195.0,191.0,63.9,516,311.0,6219,608202.0692304096
송파1동,송파구,4692.0,5342,2029.0,465.0,106.4,2487,665.0,33819,840815.167019806
송파2동,송파구,4822.0,4161,1594.0,279.0,79.5,936,523.0,41460,671604.0082546929
잠실4동,송파구,6188.0,7727,1459.0,414.0,54.3,503,618.0,19573,719251.9157769991
잠실6동,송파구,4626.0,3029,1062.0,253.0,87.5,2493,342.0,6340,563351.3060768218
거여1동,송파구,3129.0,2798,1169.0,371.0,102.9,881,619.0,28969,426741.3471953918
거여2동,송파구,4158.0,4721,1561.0,637.0,120.9,951,1000.0,36998,548079.5408453132
마천1동,송파구,4042.0,4367,1617.0,816.0,130.2,948,1258.0,39503,669803.5475116097
마천2동,송파구,3806.0,4263,1515.0,623.0,149.1,1373,1145.0,23739,653149.285638091
오금동,송파구,7297.0,7512,2639.0,742.0,108.6,2427,1187.0,22466,1316876.2781417954
가락본동,송파구,5057.0,5808,2076.0,500.0,93.1,3598,761.0,25128,897336.7739187359
가락2동,송파구,6699.0,7757,2500.0,408.0,61.8,1909,898.0,36525,1090404.0375297002
문정1동,송파구,4469.0,4534,1588.0,310.0,95.0,1381,578.0,38679,687390.1908413678
장지동,송파구,6081.0,7704,2625.0,663.0,71.8,1426,1477.0,26156,1096769.9522998868
